_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
688520,128 Montgomery Ave (former Toronto),Appeal - Front Yard Parking,0,29,75,11,19,25% of ballots received by voters,16,73,2,2,7/10/2015,1,75,7/11/2018,6/11/2015,16,50% + 1 of received ballots,FYPA 2015-134,200,Opposed,216,Yes
688521,132 Mortimer Ave,Appeal - Front Yard Parking,2,41,87,34,20,25% of ballots received by voters,2,80,7,3,7/14/2015,0,87,7/15/2018,6/15/2015,22,50% + 1 of received ballots,FYPA 2015-135,201,In Favour,96,Yes
688522,38 Henning Ave,Appeal - Front Yard Parking,0,41,59,37,14,25% of ballots received by voters,1,53,6,3,7/14/2015,0,59,7/15/2018,6/15/2015,22,50% + 1 of received ballots,FYPA 2015-136,202,In Favour,73,Yes
688523,481 Woburn Ave,Appeal - Front Yard Parking,0,31,65,21,17,25% of ballots received by voters,4,65,0,6,7/15/2015,0,65,7/16/2018,6/16/2015,17,50% + 1 of received ballots,FYPA 2015-137,203,In Favour,75,Yes
688524,45 Cranbrooke Ave,Appeal - Front Yard Parking,0,56,113,31,27,25% of ballots received by voters,16,105,8,9,7/15/2015,0,113,7/16/2018,6/16/2015,29,50% + 1 of received ballots,FYPA 2015-138,204,In Favour,135,Yes
688525,444 Eglinton Ave W,Boulevard Cafe,0,0,22,0,6,25% of ballots received by voters,0,22,0,0,7/15/2015,0,22,7/16/2017,6/16/2015,,50% + 1 of received ballots,BCP 2015-139,207,Response Rate Not Met,23,No
688526,,Traffic Calming,0,39,100,18,45,50% + 1 of ballots received by voters,18,88,12,3,7/9/2015,1,100,7/10/2017,6/10/2015,,60% of received ballots,TCP 2015-140,208,Response Rate Not Met,133,No
688527,,Traffic Calming,0,34,54,22,28,50% + 1 of ballots received by voters,9,53,1,3,7/16/2015,0,54,7/17/2017,6/17/2015,21,60% of received ballots,TCP 2015-141,209,In Favour,63,Yes
688528,24 Ramsden Rd,Front Yard Parking,0,17,29,16,8,25% of ballots received by voters,0,29,0,1,7/24/2015,0,29,7/25/2018,6/24/2015,10,50% + 1 of received ballots,FYP 2015-142,210,In Favour,39,Yes
688529,2002 Queen St E,Boulevard Cafe,0,26,66,10,15,25% of ballots received by voters,8,60,6,8,7/16/2015,0,66,7/17/2017,6/17/2015,14,50% + 1 of received ballots,BCP 2015-143,211,Opposed,82,Yes
688530,1346 Queen St W,Boulevard Cafe,0,0,18,0,4,25% of ballots received by voters,0,14,4,0,7/17/2015,0,18,7/18/2017,6/18/2015,,50% + 1 of received ballots,BCP 2015-144,212,Response Rate Not Met,28,No
688531,1375 Dundas St W,Boulevard Cafe,2,35,43,32,11,25% of ballots received by voters,1,43,0,0,7/23/2015,0,43,7/24/2017,6/23/2015,19,50% + 1 of received ballots,BCP 2015-145,213,In Favour,55,Yes
688532,105 Scarborough Rd,Appeal - Front Yard Parking,0,33,67,4,17,25% of ballots received by voters,23,66,1,6,7/29/2015,0,67,7/30/2018,6/29/2015,18,50% + 1 of received ballots,FYPA 2015-146,214,Opposed,129,Yes
688533,85 Astoria Ave,Appeal - Front Yard Parking,0,20,40,20,10,25% of ballots received by voters,0,37,3,0,7/25/2015,0,40,7/26/2018,6/25/2015,11,50% + 1 of received ballots,FYPA 2015-147,215,In Favour,49,Yes
688534,216 Scarborough Rd,Appeal - Front Yard Parking,0,47,84,33,21,25% of ballots received by voters,5,83,1,9,7/29/2015,0,84,7/30/2018,6/29/2015,25,50% + 1 of received ballots,FYPA 2015-148,216,In Favour,92,Yes
688535,212 Wineva Ave,Appeal - Front Yard Parking,0,48,127,32,32,25% of ballots received by voters,10,127,0,6,7/25/2015,0,127,7/26/2018,6/25/2015,25,50% + 1 of received ballots,FYPA 2015-149,217,In Favour,156,Yes
688536,,Traffic Calming,0,36,86,30,42,50% + 1 of ballots received by voters,5,81,5,1,8/14/2015,0,86,8/15/2017,7/15/2015,,60% of received ballots,TCP 2015-150,218,Response Rate Not Met,93,No
688537,482 Northcliffe Blvd,Appeal - Front Yard Parking,0,27,101,20,24,25% of ballots received by voters,2,96,5,5,7/29/2015,0,101,7/30/2018,6/29/2015,15,50% + 1 of received ballots,FYPA 2015-151,219,In Favour,119,Yes
688538,37 Cavendish St,Appeal - Front Yard Parking,0,24,56,20,13,25% of ballots received by voters,2,50,6,2,7/30/2015,0,56,7/31/2018,6/30/2015,13,50% + 1 of received ballots,FYPA 2015-152,220,In Favour,62,Yes
688539,226 Ava Rd,Appeal - Front Yard Parking,0,26,30,24,8,25% of ballots received by voters,2,30,0,0,8/1/2015,0,30,8/2/2018,7/2/2015,14,50% + 1 of received ballots,FYPA 2015-153,221,In Favour,34,Yes
688540,114 Foxwell St,Appeal - Front Yard Parking,0,48,77,45,19,25% of ballots received by voters,2,75,2,1,8/1/2015,1,77,8/2/2018,7/2/2015,25,50% + 1 of received ballots,FYPA 2015-154,222,In Favour,94,Yes
688541,170 Roe Ave,Front Yard Parking,0,29,94,20,23,25% of ballots received by voters,2,91,3,7,8/6/2015,0,94,8/7/2018,7/7/2015,16,50% + 1 of received ballots,FYP 2015-155,223,In Favour,109,Yes
688542,1159 Davenport Rd,Boulevard Cafe,0,28,98,20,24,25% of ballots received by voters,6,93,5,2,8/6/2015,0,98,8/7/2017,7/7/2015,15,50% + 1 of received ballots,BCP 2015-156,224,In Favour,123,Yes
688543,792 Queen St E,Boulevard Cafe,0,30,65,1,17,25% of ballots received by voters,28,65,0,1,8/7/2015,6,65,8/8/2017,7/8/2015,16,50% + 1 of received ballots,BCP 2015-157,225,Opposed,73,Yes
688544,88 Evans Ave (former Toronto),Appeal - Front Yard Parking,0,42,99,35,24,25% of ballots received by voters,3,94,5,4,8/8/2015,0,99,8/9/2018,7/9/2015,22,50% + 1 of received ballots,FYPA 2015-158,226,In Favour,119,Yes
688545,30 Flanders Rd,Appeal - Front Yard Parking,0,19,34,12,9,25% of ballots received by voters,4,34,0,3,8/12/2015,0,34,8/13/2018,7/13/2015,11,50% + 1 of received ballots,FYPA 2015-159,227,In Favour,38,Yes
688546,,Traffic Calming,0,6,56,5,25,50% + 1 of ballots received by voters,1,48,8,0,8/19/2015,0,56,8/20/2017,7/20/2015,,60% of received ballots,TCP 2015-162,230,Response Rate Not Met,59,No
688547,,Traffic Calming,0,40,106,19,52,50% + 1 of ballots received by voters,18,102,4,3,8/22/2015,0,106,8/23/2017,7/23/2015,,60% of received ballots,TCP 2015-166,234,Response Rate Not Met,127,No
688548,1366 Yonge St,Boulevard Cafe,0,104,315,57,72,25% of ballots received by voters,38,287,28,9,8/22/2015,0,315,8/23/2017,7/23/2015,53,50% + 1 of received ballots,BCP 2015-167,235,In Favour,341,Yes
688549,,Traffic Calming,0,215,358,170,179,50% + 1 of ballots received by voters,40,355,3,5,8/22/2015,0,358,8/23/2017,7/23/2015,129,60% of received ballots,TCP 2015-168,236,In Favour,423,Yes
688550,90 Runnymede Rd,Front Yard Parking,0,54,97,46,24,25% of ballots received by voters,4,95,2,4,8/26/2015,0,97,8/27/2018,7/27/2015,28,50% + 1 of received ballots,FYP 2015-169,237,In Favour,128,Yes
688551,,Traffic Calming,0,37,86,19,44,50% + 1 of ballots received by voters,15,86,0,3,8/27/2015,0,86,8/28/2017,7/28/2015,,60% of received ballots,TCP 2015-170,238,Response Rate Not Met,159,No
688552,,Traffic Calming,0,44,69,28,36,50% + 1 of ballots received by voters,15,69,0,1,8/26/2015,0,69,8/27/2017,7/27/2015,27,60% of received ballots,TCP 2015-171,239,In Favour,77,Yes
688553,,Traffic Calming,0,59,75,31,38,50% + 1 of ballots received by voters,25,73,2,3,8/27/2015,0,75,8/28/2017,7/28/2015,36,60% of received ballots,TCP 2015-172,240,Opposed,86,Yes
688554,1090 Bloor St W,Boulevard Cafe,0,21,134,14,32,25% of ballots received by voters,7,126,8,0,8/27/2015,0,134,8/28/2017,7/28/2015,,50% + 1 of received ballots,BCP 2015-173,241,Response Rate Not Met,155,No
688555,11 Lonsdale Rd,Front Yard Parking,0,22,53,14,12,25% of ballots received by voters,7,48,5,1,8/27/2015,0,53,8/28/2018,7/28/2015,12,50% + 1 of received ballots,FYP 2015-175,243,In Favour,90,Yes
688556,9 Lonsdale Rd,Front Yard Parking,0,20,51,14,12,25% of ballots received by voters,5,48,3,1,8/26/2015,0,51,8/27/2018,7/27/2015,11,50% + 1 of received ballots,FYP 2015-176,244,In Favour,88,Yes
688557,,Traffic Calming,0,90,314,60,150,50% + 1 of ballots received by voters,18,298,16,12,9/3/2015,0,314,9/4/2017,8/4/2015,,60% of received ballots,TCP 2015-177,245,Response Rate Not Met,388,No
688558,40 Rosethorn Ave,Appeal - Front Yard Parking,0,54,154,42,38,25% of ballots received by voters,5,149,5,7,8/29/2015,0,154,8/30/2018,7/30/2015,28,50% + 1 of received ballots,FYPA 2015-179,248,In Favour,187,Yes
688559,328 Runnymede Rd,Appeal - Front Yard Parking,0,68,107,48,27,25% of ballots received by voters,12,105,2,8,9/5/2015,0,107,9/6/2018,8/6/2015,35,50% + 1 of received ballots,FYPA 2015-180,249,In Favour,134,Yes
688560,16 Heddington Ave,Front Yard Parking,0,14,41,14,10,25% of ballots received by voters,0,38,3,0,9/5/2015,0,41,9/6/2018,8/6/2015,8,50% + 1 of received ballots,FYP 2015-181,250,In Favour,44,Yes
688561,37 Castlefield Ave,Appeal - Front Yard Parking,0,45,74,30,19,25% of ballots received by voters,15,73,1,0,9/9/2015,2,74,9/10/2018,8/10/2015,24,50% + 1 of received ballots,FYPA 2015-182,251,In Favour,85,Yes
688562,269 Glebeholme Blvd,Appeal - Front Yard Parking,0,76,148,38,35,25% of ballots received by voters,33,138,10,5,9/12/2015,0,148,9/13/2018,8/13/2015,39,50% + 1 of received ballots,FYPA 2015-183,252,Opposed,183,Yes
688563,121 Craighurst Ave,Appeal - Front Yard Parking,0,60,97,58,23,25% of ballots received by voters,0,91,6,2,9/9/2015,0,97,9/10/2018,8/10/2015,31,50% + 1 of received ballots,FYPA 2015-184,253,In Favour,113,Yes
688564,,Proposed Business Improvement Area,0,14,36,11,11,30% of ballots received by voters or 100,3,34,2,0,10/16/2015,6,36,10/17/2017,8/17/2015,7,50% of received ballots,PBIA 2015-185,254,In Favour,1178,Yes
688565,,Permit Parking,0,8,11,5,3,25% of ballots received by voters,3,9,2,0,9/12/2015,0,11,9/13/2017,8/13/2015,5,50% + 1 of received ballots,PPP 2015-187,256,In Favour,18,Yes
688566,36 Vaughan Rd,Boulevard Cafe,0,35,93,11,21,25% of ballots received by voters,21,83,10,3,9/23/2015,0,93,9/24/2017,8/24/2015,19,50% + 1 of received ballots,BCP 2015-188,257,Opposed,108,Yes
688567,79 Ellerbeck St,Appeal - Front Yard Parking,0,51,101,30,24,25% of ballots received by voters,14,95,6,7,10/2/2015,0,101,10/3/2018,9/2/2015,27,50% + 1 of received ballots,FYPA 2015-189,258,In Favour,131,Yes
688568,366 Old Orchard Grv,Appeal - Front Yard Parking,1,54,111,48,26,25% of ballots received by voters,2,104,7,3,10/2/2015,0,111,10/3/2018,9/2/2015,28,50% + 1 of received ballots,FYPA 2015-190,259,In Favour,135,Yes
688569,153 Westwood Ave,Appeal - Front Yard Parking,0,15,46,13,12,25% of ballots received by voters,0,46,0,2,10/2/2015,0,46,10/3/2018,9/2/2015,9,50% + 1 of received ballots,FYPA 2015-191,260,In Favour,48,Yes
688570,38 Rambert Cres,Appeal - Front Yard Parking,0,27,35,26,9,25% of ballots received by voters,0,35,0,1,10/3/2015,0,35,10/4/2018,9/3/2015,15,50% + 1 of received ballots,FYPA 2015-192,261,In Favour,42,Yes
688571,24 Royal St,Appeal - Front Yard Parking,0,70,115,67,29,25% of ballots received by voters,0,115,0,3,10/2/2015,1,115,10/3/2018,9/2/2015,36,50% + 1 of received ballots,FYPA 2015-193,262,In Favour,145,Yes
688572,531 Northcliffe Blvd,Appeal - Front Yard Parking,0,38,123,29,29,25% of ballots received by voters,8,115,8,1,10/3/2015,0,123,10/4/2018,9/3/2015,20,50% + 1 of received ballots,FYPA 2015-194,263,In Favour,140,Yes
688573,193 Eastwood Rd,Appeal - Front Yard Parking,0,12,35,8,9,25% of ballots received by voters,4,33,2,0,10/3/2015,0,35,10/4/2018,9/3/2015,7,50% + 1 of received ballots,FYPA 2015-195,264,In Favour,37,Yes
688574,27 Strathearn Blvd,Front Yard Parking,0,24,33,15,9,25% of ballots received by voters,6,33,0,3,10/3/2015,0,33,10/4/2018,9/3/2015,13,50% + 1 of received ballots,FYP 2015-196,265,In Favour,34,Yes
688575,38 Harwood Rd,Front Yard Parking,0,21,32,21,8,25% of ballots received by voters,0,32,0,0,10/8/2015,0,32,10/9/2018,9/8/2015,12,50% + 1 of received ballots,FYP 2015-197,266,In Favour,37,Yes
688576,52 Bicknell Ave,Front Yard Parking,0,20,52,20,13,25% of ballots received by voters,0,52,0,0,10/8/2015,0,52,10/9/2018,9/8/2015,11,50% + 1 of received ballots,FYP 2015-198,267,In Favour,75,Yes
688577,76 Alameda Ave,Front Yard Parking,0,24,38,19,10,25% of ballots received by voters,1,38,0,4,10/8/2015,0,38,10/9/2018,9/8/2015,13,50% + 1 of received ballots,FYP 2015-199,268,In Favour,43,Yes
688578,,Traffic Calming,0,150,319,119,158,50% + 1 of ballots received by voters,21,313,6,10,10/15/2015,0,319,10/16/2017,9/15/2015,,60% of received ballots,TCP 2015-200,269,Response Rate Not Met,384,No
688579,,Permit Parking,0,60,294,28,68,25% of ballots received by voters,28,270,24,4,10/16/2015,2,294,10/17/2017,9/16/2015,,50% + 1 of received ballots,PPP 2015-201,270,Response Rate Not Met,311,No
688580,351 Nairn Ave,Appeal - Front Yard Parking,0,25,49,23,12,25% of ballots received by voters,0,47,2,2,10/21/2015,0,49,10/22/2018,9/21/2015,14,50% + 1 of received ballots,FYPA 2015-202,271,In Favour,71,Yes
688581,263 Glenholme Ave,Front Yard Parking,0,23,68,20,17,25% of ballots received by voters,0,67,1,3,10/17/2015,0,68,10/18/2018,9/17/2015,13,50% + 1 of received ballots,FYP 2015-203,272,In Favour,93,Yes
688582,216 Glenholme Ave,Appeal - Front Yard Parking,0,46,95,33,22,25% of ballots received by voters,7,88,7,6,10/22/2015,0,95,10/23/2018,9/22/2015,24,50% + 1 of received ballots,FYPA 2015-204,273,In Favour,117,Yes
688583,424 Millwood Rd,Front Yard Parking,0,45,74,45,19,25% of ballots received by voters,0,73,1,0,10/17/2015,0,74,10/18/2018,9/17/2015,24,50% + 1 of received ballots,FYP 2015-206,275,In Favour,87,Yes
688584,329 St Clements Ave,Front Yard Parking,0,38,78,36,20,25% of ballots received by voters,0,77,1,2,10/29/2015,0,78,10/30/2018,9/29/2015,20,50% + 1 of received ballots,FYP 2015-207,276,In Favour,102,Yes
688585,93 Kennedy Ave,Appeal - Front Yard Parking,0,37,85,28,20,25% of ballots received by voters,3,80,5,6,10/23/2015,0,85,10/24/2018,9/23/2015,20,50% + 1 of received ballots,FYPA 2015-208,277,In Favour,117,Yes
688586,739 Queen St E,Commercial Boulevard Parking,0,11,86,5,21,25% of ballots received by voters,5,83,3,1,10/30/2015,0,86,10/31/2017,9/30/2015,,50% + 1 of received ballots,CBP 2015-209,278,Response Rate Not Met,102,No
688587,2205 Queen St E,Commercial Boulevard Parking,0,11,28,5,7,25% of ballots received by voters,6,26,2,0,10/24/2015,0,28,10/25/2017,9/24/2015,7,50% + 1 of received ballots,CBP 2015-210,279,Opposed,54,Yes
688588,1330 Gerrard St E,Commercial Boulevard Parking,0,10,85,4,21,25% of ballots received by voters,6,84,1,0,10/31/2015,0,85,11/1/2017,10/1/2015,,50% + 1 of received ballots,CBP 2015-211,280,Response Rate Not Met,115,No
688589,377 Winnett Ave,Front Yard Parking,0,49,103,39,25,25% of ballots received by voters,7,97,6,3,10/24/2015,0,103,10/25/2018,9/24/2015,26,50% + 1 of received ballots,FYP 2015-212,281,In Favour,111,Yes
688590,20 Durham Ave,Front Yard Parking,0,13,28,12,7,25% of ballots received by voters,0,26,2,1,10/28/2015,3,28,10/29/2018,9/28/2015,8,50% + 1 of received ballots,FYP 2015-213,282,In Favour,29,Yes
688591,10 Hiawatha Rd,Front Yard Parking,0,32,114,30,28,25% of ballots received by voters,1,111,3,1,10/28/2015,0,114,10/29/2018,9/28/2015,17,50% + 1 of received ballots,FYP 2015-214,283,In Favour,135,Yes
688592,158 Lyndhurst Ave,Front Yard Parking,0,30,65,21,15,25% of ballots received by voters,3,58,7,6,10/29/2015,0,65,10/30/2018,9/29/2015,16,50% + 1 of received ballots,FYP 2015-215,284,In Favour,81,Yes
688593,135 Cedric Ave,Front Yard Parking,0,34,153,25,36,25% of ballots received by voters,8,143,10,1,10/29/2015,0,153,10/30/2018,9/29/2015,,50% + 1 of received ballots,FYP 2015-216,285,Response Rate Not Met,194,No
688594,33 Pinewood Ave,Front Yard Parking,0,54,102,50,20,25% of ballots received by voters,0,80,22,4,10/31/2015,0,102,11/1/2018,10/1/2015,28,50% + 1 of received ballots,FYP 2015-217,286,In Favour,149,Yes
688595,,Traffic Calming,0,88,205,59,100,50% + 1 of ballots received by voters,11,197,8,18,11/5/2015,0,205,11/6/2017,10/6/2015,,60% of received ballots,TCP 2015-219,288,Response Rate Not Met,248,No
688596,17 Bellefair Ave,Front Yard Parking,0,63,100,54,25,25% of ballots received by voters,2,100,0,7,11/13/2015,1,100,11/14/2018,10/14/2015,33,50% + 1 of received ballots,FYP 2015-220,289,In Favour,135,Yes
688597,76 Glengarry Ave,Front Yard Parking,0,47,100,45,25,25% of ballots received by voters,0,99,1,2,11/14/2015,1,100,11/15/2018,10/15/2015,25,50% + 1 of received ballots,FYP 2015-221,290,In Favour,112,Yes
688598,75 Ronald Ave,Front Yard Parking,0,17,39,16,9,25% of ballots received by voters,0,34,5,1,11/18/2015,0,39,11/19/2018,10/19/2015,10,50% + 1 of received ballots,FYP 2015-222,291,In Favour,44,Yes
688599,284 Atlas Ave,Front Yard Parking,0,46,144,39,31,25% of ballots received by voters,6,123,21,1,11/13/2015,0,144,11/14/2018,10/14/2015,24,50% + 1 of received ballots,FYP 2015-223,292,In Favour,165,Yes
688600,88 Maclean Ave,Front Yard Parking,0,21,46,21,11,25% of ballots received by voters,0,43,3,0,11/14/2015,0,46,11/15/2018,10/15/2015,12,50% + 1 of received ballots,FYP 2015-224,293,In Favour,56,Yes
688601,151 Everden Rd,Front Yard Parking,0,24,37,24,10,25% of ballots received by voters,0,37,0,0,11/14/2015,0,37,11/15/2018,10/15/2015,13,50% + 1 of received ballots,FYP 2015-225,294,In Favour,38,Yes
688602,16 Raymond Ave,Appeal - Front Yard Parking,0,22,29,19,8,25% of ballots received by voters,3,29,0,0,11/21/2015,0,29,11/22/2018,10/22/2015,12,50% + 1 of received ballots,FYPA 2015-226,295,In Favour,39,Yes
688603,442 Armadale Ave,Appeal - Front Yard Parking,0,39,84,23,21,25% of ballots received by voters,6,82,2,10,11/21/2015,0,84,11/22/2018,10/22/2015,21,50% + 1 of received ballots,FYPA 2015-227,296,In Favour,110,Yes
688604,14 Ellis Park Rd,Appeal - Front Yard Parking,0,23,48,6,12,25% of ballots received by voters,17,46,2,0,11/25/2015,0,48,11/26/2018,10/26/2015,13,50% + 1 of received ballots,FYPA 2015-228,297,Opposed,55,Yes
688605,46 Laws St,Appeal - Front Yard Parking,0,66,147,43,34,25% of ballots received by voters,10,134,13,13,11/25/2015,0,147,11/26/2018,10/26/2015,34,50% + 1 of received ballots,FYPA 2015-229,298,In Favour,183,Yes
688606,51 Montgomery Ave (former Toronto),Appeal - Front Yard Parking,0,15,47,14,12,25% of ballots received by voters,0,46,1,1,11/27/2015,0,47,11/28/2018,10/28/2015,9,50% + 1 of received ballots,FYPA 2015-230,299,In Favour,56,Yes
688607,196 Roselawn Ave,Appeal - Front Yard Parking,0,19,42,19,10,25% of ballots received by voters,0,39,3,0,11/26/2015,0,42,11/27/2018,10/27/2015,11,50% + 1 of received ballots,FYPA 2015-231,300,In Favour,45,Yes
688608,,Proposed Business Improvement Area,0,20,62,18,15,30% of ballots received by voters or 100,2,47,15,0,1/29/2016,42,62,1/30/2018,11/30/2015,10,50% of received ballots,PBIA 2015-232,301,In Favour,13458,Yes
688609,,Traffic Calming,0,302,1637,201,752,50% + 1 of ballots received by voters,40,1501,136,61,12/16/2015,1,1637,12/17/2017,11/16/2015,,60% of received ballots,TCP 2015-235,305,Response Rate Not Met,1749,No
688610,,Traffic Calming,0,137,451,44,204,50% + 1 of ballots received by voters,77,406,45,16,12/5/2015,2,451,12/6/2017,11/5/2015,,60% of received ballots,TCP 2015-236,306,Response Rate Not Met,573,No
688611,107 Lascelles Blvd,Front Yard Parking,0,31,50,28,13,25% of ballots received by voters,0,50,0,3,12/2/2015,0,50,12/3/2018,11/2/2015,17,50% + 1 of received ballots,FYP 2015-237,307,In Favour,58,Yes
